"","id1","n_varieties","share_area_local","share_area_improved","xx2_xx3","xx2","per_hib_bush","per_hib_climbers","yield_pure_i_b","yield_pure_i_c","yield_pure_local_b","yield_pure_local_c","yield_pure_hib_b","yield_pure_hib_c","d","d8","d10","d11","d12","d13","d14","d15","d16","d17","d18","d19","d22","c4_1","c4_2","c4_3","c4_4","c4_5","c4_6","c4_7","bean_area","i_l_b_area","cor_c","area_irrigated_land","area_manure_land","area_compost_land","area_fertilizer_land","area_pesticide_land","bush","climber","area_no_title","area_own_title","area_renting","area_share_croping","renting","own_title","own_notitle","share_croping","share_area_imp_var","cor_c.1","mean_p_beans_year_2015","mean_p_maize_year_2015","mean_p_sorghum_year_2015","mean_p_sp_year_2015","hhid"
"1520","57560603040034_1",1,100,0,43.65079365,100,0,0,0,0,43.65079365,0,0,0,80,2,0,1,60,0,4,1,0,0,0,0,0,3,8,0,0,0,0,0,1260,126000,1575,1575,0,0,0,0,1,0,0,0,0,1575,0,0,0,1,0,1575,381.38549805,160.89185715,266.2820511,115.4644928,"57560603040034"
"1521","57560603040034_2",4,85,15.00000095,62.6262626208114,100.00000095,0,15.00000095,0,0,0,0,0,0,60,2,85,2,0,0,4,0,0,0,1,1,0,3,21,0,0,0,0,0,990,49500.00047025,1650,0,1650,1650,0,0,0.5,0.5,0,1650,0,0,0,1,0,0,7.500000475,1650,381.38549805,160.89185715,266.2820511,115.4644928,"57560603040034"
"1522","57560603040035_1",1,100,0,10,100,0,0,0,0,0,10,0,0,20,2,30,1,0,0,4,0,0,0,0,0,0,2,3,8,0,0,0,0,600,60000,3000,0,0,0,0,0,0,1,0,3000,0,0,0,1,0,0,0,3000,388.2729645,158.09981535,267.43105315,116.16996,"57560603040035"
"1523","57560603040035_2",1,100,0,266.6666667,100,0,0,0,0,266.6666667,0,0,0,35,2,35,1,10,0,4,0,0,0,0,0,0,3,8,21,0,0,0,0,262.5,26250,750,0,0,0,0,0,1,0,0,750,0,0,0,1,0,0,0,750,388.2729645,158.09981535,267.43105315,116.16996,"57560603040035"
"1524","58120601070013_1",1,100,0,76.92307692,100,0,0,0,0,0,76.92307692,0,0,50,4,50,1,0,0,1,0,0,0,1,1,0,2,3,0,0,0,0,0,650,65000,1300,0,1300,1300,0,0,0,1,0,1300,0,0,0,1,0,0,0,1300,420.53121945,301.76377105,384.2858429,83.3934402,"58120601070013"
"1525","58120601070013_2",1,100,0,130.97025258037,100,0,0,0,0,130.97025258037,0,0,0,100,4,0,1,4,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,50,5000,50,0,50,50,0,0,1,0,0,0,50,0,1,0,0,0,0,50,420.53121945,301.76377105,384.2858429,83.3934402,"58120601070013"
"1526","58120601070013_3",1,100,0,106.019885017143,100,0,0,0,0,0,106.019885017143,0,0,100,4,0,1,3,0,4,0,0,0,1,1,0,3,0,0,0,0,0,0,50,5000,50,0,50,50,0,0,0,1,0,0,50,0,1,0,0,0,0,50,420.53121945,301.76377105,384.2858429,83.3934402,"58120601070013"
"1527","58120601070013_4",1,100,0,250,100,0,0,0,0,250,0,0,0,100,4,0,1,8,1,3,0,0,0,1,1,0,3,0,0,0,0,0,0,60,6000,60,0,60,60,0,0,1,0,60,0,0,0,0,0,1,0,0,60,420.53121945,301.76377105,384.2858429,83.3934402,"58120601070013"
"1528","58221203050006_1",1,100,0,80,100,0,0,0,0,0,80,0,0,25,4,0,1,1,0,3,0,1,0,1,1,0,2,3,33,0,0,0,0,125,12500,500,0,500,500,0,0,0,1,0,500,0,0,0,1,0,0,0,500,350.8855896,205.92206575,329.00252535,65.3005524,"58221203050006"
"1529","58221203050014_1",1,0,100,57.5613488703226,100,0,0,57.5613488703226,0,0,0,0,0,75,7,100,1,0,0,4,0,1,0,1,1,0,3,21,0,0,0,0,0,112.5,11250,150,0,150,150,0,0,1,0,0,150,0,0,0,1,0,0,100,150,350.88697815,205.90016175,328.9170685,65.4060287,"58221203050014"
