vill,n_total,n_adopt,n_nonad,s_adopt,s_nonad,b_adopt,b_nonad,pb_adopt,pb_nonad,ps_adopt,ps_nonad,dist,p1,weight_vill
Ryabugenge,95,20,75,6,6,9,9,.45,.12,.6666666666666666,.6666666666666666,53,.0065864199907593,151.8275484106681
Akagasaro,19,11,8,6,6,9,8,.8181818181818182,1,.6666666666666666,.75,53,.0034315801632527,291.4109396914475
Bweranyange,215,114,101,6,6,9,9,.0789473684210526,.0891089108910891,.6666666666666666,.6666666666666666,53,.0137816687201602,72.56015365811057
Rugarama,137,26,111,6,6,9,9,.3461538461538462,.0810810810810811,.6666666666666666,.6666666666666666,53,.0084129062066841,118.8649885583527
Akimpara,163,26,137,6,6,9,9,.3461538461538462,.0656934306569343,.6666666666666666,.6666666666666666,54,.0080037214943969,124.9418786873159
Bara,186,56,130,6,6,9,9,.1607142857142857,.0692307692307692,.6666666666666666,.6666666666666666,54,.0108800589064458,91.91126708032421
Cyamburara,233,28,205,6,6,9,9,.3214285714285715,.0439024390243902,.6666666666666666,.6666666666666666,54,.0057526748240978,173.8321790432212
Humure,174,14,160,6,6,9,9,.6428571428571429,.05625,.6666666666666666,.6666666666666666,55,.0155752016856338,64.20462605774002
Isenga,61,16,45,6,6,9,9,.5625,.2,.6666666666666666,.6666666666666666,55,.0045295229391894,220.7738018827562
Gacenshero,84,4,80,4,8,4,11,1,.1375,1,.7272727272727273,55,.0079465314722621,125.8410670731711
Gikenke,162,117,45,6,6,9,9,.0769230769230769,.2,.6666666666666666,.6666666666666666,55,.0129528462997873,77.20310863384684
Gashasha,117,12,105,6,6,9,9,.75,.0857142857142857,.6666666666666666,.6666666666666666,55,.0092974418225467,107.5564675839064
Rwamuhigi,112,17,95,6,6,9,9,.5294117647058824,.0947368421052632,.6666666666666666,.6666666666666666,55,.010489421543386,95.33414172209906
Cyahafi,131,29,102,6,6,9,9,.3103448275862069,.0882352941176471,.6666666666666666,.6666666666666666,56,.0070077813392919,142.6985163468364
Rugenge,230,69,161,6,6,9,9,.1304347826086957,.0559006211180124,.6666666666666666,.6666666666666666,56,.0120282814032621,83.13739648033155
Ikiyovu,160,19,141,6,6,9,9,.4736842105263158,.0638297872340425,.6666666666666666,.6666666666666666,56,.0090473594902798,110.5294866501512
Nyagasozi,394,144,250,6,6,9,9,.0625,.036,.6666666666666666,.6666666666666666,56,.0260438440818459,38.39678953910875
Murambi(East),107,32,75,6,6,9,9,.28125,.12,.6666666666666666,.6666666666666666,57,.0082471306419736,121.254293573394
Rukoyoyo,52,19,33,6,6,9,9,.4736842105263158,.2727272727272727,.6666666666666666,.6666666666666666,57,.0049227058870695,203.1403100125697
Taba,201,138,63,6,6,9,9,.0652173913043478,.1428571428571429,.6666666666666666,.6666666666666666,57,.0161746050575142,61.82531174295549
Kagano(East),166,41,125,6,6,9,9,.2195121951219512,.072,.6666666666666666,.6666666666666666,57,.0121469366044573,82.32528353140918
Nyarugati I,93,61,32,6,6,9,9,.1475409836065574,.28125,.6666666666666666,.6666666666666666,57,.0101650680005722,98.37612497463954
